Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBEB,X,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,6,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431,0.00027431
DBEB,X,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,9,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398,0.000106398
DBEB,X,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,11,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05
DBEB,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,X,1,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05,5.42E-05
MCEB,X,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,X,3,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748,0.000399748
MCEB,X,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,X,5,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175,0.00039175
MCEB,X,6,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987,0.001341987
MCEB,X,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,X,8,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329,0.00021329
